id,name,category,duration_min,ivf,isf,icf,4CF,hormones,description,protein_g,created_at,updated_at
1,"Pure Water (1 glass, 250 mL)",drink,,"{""K"":0,""Na"":0,""H2O"":25}","{""Cl"":0,""Na"":0,""H2O"":60}","{""K"":0,""H2O"":165}",{},"{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Pure water is rapidly absorbed (within 5–20 min):contentReference[oaicite:0]{index=0}, temporarily expanding blood volume and diluting plasma before distributing evenly across intracellular and extracellular compartments.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
2,"Mineral Water (1 bottle, 500 mL)",drink,,"{""Na"":1,""H2O"":50}","{""Cl"":2,""Na"":2,""H2O"":150}","{""H2O"":300}",{},"{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Mineral water provides 500 mL of fluid with trace electrolytes (e.g., calcium, magnesium), enhancing hydration and electrolyte balance.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
3,"Coconut Water (1 cup, 250 mL)",drink,,"{""K"":0,""Na"":0.3,""H2O"":30}","{""Na"":1,""H2O"":70}","{""K"":10,""H2O"":150}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Coconut water provides natural electrolytes (≈420 mg K+, 25 mg Na+ per cup):contentReference[oaicite:1]{index=1}. It rapidly rehydrates, with potassium promoting cellular fluid uptake and restoring intracellular volume.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
4,"Electrolyte Drink (sports drink, 500 mL)",drink,,"{""Na"":3,""H2O"":80}","{""Cl"":6,""Na"":6,""H2O"":220}","{""K"":1,""H2O"":200}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","A 500 mL sports drink provides water with added sodium (≈220 mg) and some potassium, helping restore extracellular fluid and maintain hydration during exercise. The sugars aid water absorption and energy replenishment.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
5,"ORS (rehydration salts, 250 mL)",drink,,"{""Na"":4,""H2O"":50}","{""Cl"":12,""Na"":14,""H2O"":150}","{""K"":5,""H2O"":50}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Oral Rehydration Solution (ORS) provides an optimal ratio of glucose and electrolytes (≈75 mmol/L Na+, 20 mmol/L K+):contentReference[oaicite:2]{index=2}. 250 mL ORS is rapidly absorbed and predominantly restores intravascular and interstitial volume, helping reverse dehydration.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
6,"Coffee (1 cup, 240 mL)",drink,,"{""H2O"":20}","{""H2O"":60}","{""H2O"":160}","{""Urine"":300}","{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Coffee contains caffeine, a mild diuretic. One 240 mL cup provides mostly water and causes only a slight increase in urine output:contentReference[oaicite:3]{index=3}. Overall, it contributes to hydration, as the fluid intake outweighs the mild fluid loss.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
7,"Tea (1 cup, 240 mL)",drink,,"{""H2O"":25}","{""H2O"":60}","{""H2O"":155}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Tea (240 mL) provides hydration similar to water. Though it contains some caffeine, a typical cup does not significantly increase urine output:contentReference[oaicite:4]{index=4}, so it contributes effectively to daily fluid intake.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
8,"Milk (1 cup, 240 mL)",drink,,"{""Na"":1,""H2O"":40}","{""Cl"":3.6,""Na"":3.6,""H2O"":110}","{""K"":8,""H2O"":90}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Milk is ~90% water and contains sodium (~105 mg) and potassium (~322 mg) per cup, which aid fluid retention:contentReference[oaicite:5]{index=5}. Studies show milk leads to less urine output than water, making it highly effective for rehydration.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
9,"Beer (1 can, 355 mL)",drink,,"{""H2O"":35}","{""H2O"":90}","{""H2O"":230}","{""Urine"":500}","{""ADH"":-2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-1,""Testosterone"":0}","Beer (5% alcohol) provides ~355 mL of fluid but alcohol inhibits antidiuretic hormone, causing excess urination:contentReference[oaicite:6]{index=6}. The result is a net fluid loss as urine output often exceeds the volume of beer consumed, leading to dehydration if not compensated.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
10,"Wine (1 glass, 150 mL)",drink,,"{""H2O"":15}","{""H2O"":40}","{""H2O"":95}","{""Urine"":200}","{""ADH"":-2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-1,""Testosterone"":0}","A 150 mL glass of wine (≈12% alcohol) provides some fluid but has a strong diuretic effect by suppressing ADH:contentReference[oaicite:7]{index=7}. This leads to increased urine production and a net loss of body water, contributing to dehydration if not offset by water intake.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
